rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,Fun Rk,adjt
1,Michigan,B10,20-1,127.5054,5,90.33069,1,0.981364,1,27.75966,3.240343,17.12092,2.879082,1-Oct,0.756251,0.718827,0.790273,0.7911,0.741435,0.818416,0.601712,0.65668,116.0294,102.9691,117.9591,102.0265,126.0149,94.8395,128.794,87.19569,0.988856,11,0.051853,941,792,787.5125,1.194902,1.005698,0.852813,0.909091,7.826195,4,66,72.75153
2,Arizona,B12,22-0,126.2025,8,91.86228,4,0.974726,2,28.74385,2.256146,15.74385,2.256146,Sep-00,0.654314,0.564627,0.783861,0.721623,0.564627,0.835009,0.630714,0.71582,114.2567,105.476,116.6255,103.8216,127.0038,92.38635,125.7138,88.63251,0.982352,9,0.13026,795,647,659.75,1.205002,0.980674,0.886158,1,8.241712,1,8,71.1139
3,Houston,B12,19-2,127.6852,4,93.80432,8,0.971971,3,26.67307,4.326935,14.67307,3.326935,1-Jul,0.65111,0.540887,0.830222,0.70657,0.540887,0.826231,0.668011,0.795875,112.8694,105.2583,115.4115,104.3108,132.2141,94.27928,128.0642,97.76779,0.957069,8,0.018801,634,515,518.75,1.222169,0.992771,0.823038,0.875,5.357825,9,122,63.54114
4,Iowa St.,B12,20-2,126.6645,7,94.26997,13,0.967606,4,26.59048,4.409516,13.59048,4.409516,2-Jul,0.607623,0.47807,0.794756,0.681536,0.47807,0.828483,0.665466,0.785206,111.7713,105.9336,114.5565,104.3611,126.4255,94.87433,122.5219,97.04531,0.935883,7,0.0435,729,609,608.75,1.197536,1.000411,0.862211,0.777778,5.434417,8,78,67.87029
5,Duke,ACC,21-1,125.2846,10,93.26661,5,0.967515,5,27.70998,3.290016,16.34872,1.651277,Oct-00,0.67065,0.590855,0.766404,0.727034,0.620894,0.80369,0.623778,0.63496,114.555,104.4958,116.1724,103.1499,126.9439,94.5853,123.6056,89.00008,0.977627,11,0.123962,805,648,661.9125,1.216173,0.978981,0.850297,1,7.915624,2,9,66.48904
6,Connecticut,BE,22-1,122.6918,26,91.62674,3,0.966348,6,28.5258,2.474195,18.5258,1.474195,Dec-00,0.669603,0.591463,0.741231,0.704903,0.591463,0.767295,0.670922,0.641249,114.3215,105.0262,114.987,104.1717,122.1313,92.08468,122.2933,90.27759,0.97042,8,0.117458,961,788,814.5625,1.179774,0.96739,0.80639,1,7.844518,3,13,64.84275
7,Florida,SEC,16-6,124.9771,13,93.54881,7,0.965475,7,23.15978,7.840218,14.15978,3.840218,2-Jul,0.708931,0.610392,0.851265,0.742947,0.610392,0.838682,0.633371,0.699424,117.0469,105.2245,117.6341,104.4451,128.9906,93.12082,125.1002,95.33814,0.957887,10,-0.0805,792,655,643.1875,1.231367,1.018366,0.826099,0.777778,3.315201,19,334,69.67945
8,Illinois,B10,19-3,131.7355,1,99.00061,32,0.963918,8,25.7676,5.232397,16.7676,3.232397,1-Oct,0.683395,0.573074,0.793716,0.726997,0.573074,0.811654,0.622086,0.726801,115.7947,104.4615,116.6692,103.3341,133.2996,101.28,132.4861,100.7958,0.958667,10,0.068829,883,774,707.65,1.247792,1.093761,0.833579,0.909091,6.234975,6,42,65.79868
9,Purdue,B10,18-4,130.2726,2,98.54833,26,0.961188,9,24.09516,6.904837,14.09516,5.904837,3-Aug,0.722272,0.642212,0.802331,0.769118,0.642212,0.838916,0.600747,0.709068,116.2686,103.8746,117.6926,102.4869,130.5218,100.2404,128.4876,96.68583,0.963392,10,0.013405,886,781,720.05,1.23047,1.084647,0.883632,0.727273,5.350107,10,145,65.00958
10,Vanderbilt,SEC,19-3,125.1023,12,95.37919,15,0.957695,10,25.57535,5.424646,12.57535,5.424646,3-Jun,0.652074,0.526679,0.8332,0.712658,0.526679,0.846976,0.668912,0.806963,114.3744,106.4255,116.0371,104.9386,123.4251,96.44068,128.9963,99.18637,0.953558,8,0.017194,728,684,633.9,1.148446,1.079035,0.860752,0.666667,4.823552,13,128,70.03676
